,mean len,std len,mean dtw,mean frechet dist
Optimal,48,3,2,0.8
Boltzmann (0.1),106,26,48,3.2
Boltzmann (10),47,2,1,0.6
Prospect bias (2),59,2,6,1.0
Prospect bias (50),106,14,196,10.6
Extremal (0),48,1,2,1.0
Extremal (0.99),44,0,0,0.2
Random Boltz (0-50),115,8,49,2.4
Myopic Discount (0.1),45,0,1,0.6
Myopic Discount (0.99),69,4,17,1.8
Myopic VI (5),79,32,30,2.6
Myopic VI (50),583,321,957,10.8
Hyperbolic Discount (0),68,5,17,2.0
Hyperbolic Discount (10),46,2,2,0.8
