,mean len,std len,mean dtw,mean frechet dist
boltz 1,102,18,52,3.55
boltz 10,46,2,2,1.15
prospect 2,58,4,32,5.55
prospect 50,110,18,403,18.6
extremal 0,46,2,1,0.55
extremal 0.99,46,2,2,0.7
myopic disc 0.1,48,2,3,1.05
myopic disc 0.99,73,12,22,2.25
myopic VI 5,58,13,13,2.05
myopic VI 200,80,15,30,2.5
hyper disc 0,74,8,21,2.15
hyper disc 5,47,2,2,0.9
,,,,
,,,,
Number of epochs,20,,,
